Date,NTU_12K001_H2S,NTU_12K001_HCL,NTU_AI120201
02/11/2019,0.90,4.00,92.37
03/11/2019,0.90,2.06,89.82
04/11/2019,0.90,1.00,89.13
05/11/2019,0.90,1.00,88.76
06/11/2019,0.90,1.00,91.75
07/11/2019,0.90,1.00,92.92
08/11/2019,0.90,1.00,93.36
09/11/2019,0.90,1.00,92.92
10/11/2019,0.96,3.58,91.13
11/11/2019,1.00,5.00,91.30
12/11/2019,1.00,5.00,92.16
13/11/2019,1.00,5.00,91.92
14/11/2019,1.00,5.00,92.28
15/11/2019,1.00,5.00,93.52
16/11/2019,1.00,5.00,94.53
17/11/2019,1.00,5.00,94.42
18/11/2019,1.00,5.00,94.43
19/11/2019,1.00,5.00,92.79
20/11/2019,1.00,5.00,61.67
21/11/2019,1.00,5.00,89.35
22/11/2019,1.00,5.00,95.76
23/11/2019,1.00,5.00,95.69
24/11/2019,0.94,5.00,94.08
25/11/2019,0.90,5.00,90.34
26/11/2019,0.90,5.00,89.98
27/11/2019,0.90,5.00,89.78
28/11/2019,0.90,5.00,89.96
29/11/2019,0.90,5.00,89.71
30/11/2019,0.90,5.00,90.03
01/12/2019,0.90,5.00,90.25
02/12/2019,0.90,5.00,90.59
03/12/2019,0.90,5.00,89.81
04/12/2019,0.90,5.00,89.31
05/12/2019,0.90,5.00,90.28
06/12/2019,0.90,5.00,91.26
07/12/2019,0.90,5.00,91.72
08/12/2019,0.32,2.10,92.00
09/12/2019,0.00,0.50,91.56
10/12/2019,0.00,0.50,91.42
11/12/2019,0.00,0.50,91.54
12/12/2019,0.00,0.50,91.88
13/12/2019,0.00,0.50,91.85
14/12/2019,0.00,0.50,91.52
15/12/2019,0.65,1.79,91.34
16/12/2019,1.00,2.50,91.16
17/12/2019,1.00,2.50,92.29
18/12/2019,1.00,2.50,87.41
19/12/2019,1.00,2.50,87.65
20/12/2019,1.00,2.50,87.36
21/12/2019,1.00,2.50,86.68
22/12/2019,1.00,4.11,86.53
23/12/2019,1.00,5.00,87.26
24/12/2019,1.00,5.00,86.64
25/12/2019,1.00,5.00,86.54
26/12/2019,1.00,5.00,86.17
27/12/2019,1.00,5.00,85.88
28/12/2019,1.00,5.00,86.34
29/12/2019,0.94,5.00,86.50
30/12/2019,0.90,5.00,86.08
